redis            | 2025-10-29 16:43:34.772 | 1:C 29 Oct 2025 10:58:34.771 # oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
redis            | 2025-10-29 16:43:34.772 | 1:C 29 Oct 2025 10:58:34.771 # Redis version=6.2.20, bits=64, commit=00000000, modified=0, pid=1, just started
redis            | 2025-10-29 16:43:34.772 | 1:C 29 Oct 2025 10:58:34.771 # Configuration loaded
redis            | 2025-10-29 16:43:34.772 | 1:M 29 Oct 2025 10:58:34.771 * monotonic clock: POSIX clock_gettime
redis            | 2025-10-29 16:43:34.775 | 1:M 29 Oct 2025 10:58:34.774 * Running mode=standalone, port=6379.
redis            | 2025-10-29 16:43:34.775 | 1:M 29 Oct 2025 10:58:34.774 # Server initialized
redis            | 2025-10-29 16:43:34.775 | 1:M 29 Oct 2025 10:58:34.774 * Ready to accept connections
mysql            | 2025-10-29 16:43:35.439 | 2025-10-29T10:58:35.435753Z 0 [Warning] [MY-011070] [Server] 'Disabling symbolic links using --skip-symbolic-links (or equivalent) is the default. Consider not using this option as it' is deprecated and will be removed in a future release.
mysql            | 2025-10-29 16:43:35.439 | 2025-10-29T10:58:35.435891Z 0 [System] [MY-010116] [Server] /usr/sbin/mysqld (mysqld 8.0.12) starting as process 1
mysql            | 2025-10-29 16:43:35.456 | mbind: Operation not permitted
mysql            | 2025-10-29 16:43:35.456 | mbind: Operation not permitted
mysql            | 2025-10-29 16:43:35.456 | mbind: Operation not permitted
mysql            | 2025-10-29 16:43:35.456 | mbind: Operation not permitted
mysql            | 2025-10-29 16:43:35.456 | mbind: Operation not permitted
mysql            | 2025-10-29 16:43:35.456 | mbind: Operation not permitted
mysql            | 2025-10-29 16:43:35.456 | mbind: Operation not permitted
mysql            | 2025-10-29 16:43:35.456 | mbind: Operation not permitted
mysql            | 2025-10-29 16:43:35.745 | 2025-10-29T10:58:35.745520Z 0 [Warning] [MY-010068] [Server] CA certificate ca.pem is self signed.
mysql            | 2025-10-29 16:43:35.750 | 2025-10-29T10:58:35.750523Z 0 [Warning] [MY-011810] [Server] Insecure configuration for --pid-file: Location '/var/run/mysqld' in the path is accessible to all OS users. Consider choosing a different directory.
mysql            | 2025-10-29 16:43:35.759 | 2025-10-29T10:58:35.759617Z 0 [Warning] [MY-010315] [Server] 'user' entry 'mysql.infoschema@localhost' ignored in --skip-name-resolve mode.
mysql            | 2025-10-29 16:43:35.759 | 2025-10-29T10:58:35.759644Z 0 [Warning] [MY-010315] [Server] 'user' entry 'mysql.session@localhost' ignored in --skip-name-resolve mode.
mysql            | 2025-10-29 16:43:35.759 | 2025-10-29T10:58:35.759650Z 0 [Warning] [MY-010315] [Server] 'user' entry 'mysql.sys@localhost' ignored in --skip-name-resolve mode.
