redis    | 2025-10-29 18:43:28.137 | 1:C 29 Oct 2025 12:58:28.132 # oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
redis    | 2025-10-29 18:43:28.137 | 1:C 29 Oct 2025 12:58:28.132 # Redis version=6.2.20, bits=64, commit=00000000, modified=0, pid=1, just started
redis    | 2025-10-29 18:43:28.137 | 1:C 29 Oct 2025 12:58:28.132 # Configuration loaded
redis    | 2025-10-29 18:43:28.141 | 1:M 29 Oct 2025 12:58:28.140 * monotonic clock: POSIX clock_gettime
redis    | 2025-10-29 18:43:28.142 | 1:M 29 Oct 2025 12:58:28.142 * Running mode=standalone, port=6379.
redis    | 2025-10-29 18:43:28.142 | 1:M 29 Oct 2025 12:58:28.142 # Server initialized
redis    | 2025-10-29 18:43:28.143 | 1:M 29 Oct 2025 12:58:28.142 * Ready to accept connections
mysql    | 2025-10-29 18:43:28.639 | 2025-10-29T12:58:28.637080Z 0 [Warning] [MY-011070] [Server] 'Disabling symbolic links using --skip-symbolic-links (or equivalent) is the default. Consider not using this option as it' is deprecated and will be removed in a future release.
mysql    | 2025-10-29 18:43:28.639 | 2025-10-29T12:58:28.637200Z 0 [System] [MY-010116] [Server] /usr/sbin/mysqld (mysqld 8.0.12) starting as process 1
mysql    | 2025-10-29 18:43:28.671 | mbind: Operation not permitted
mysql    | 2025-10-29 18:43:28.671 | mbind: Operation not permitted
mysql    | 2025-10-29 18:43:28.671 | mbind: Operation not permitted
mysql    | 2025-10-29 18:43:28.671 | mbind: Operation not permitted
mysql    | 2025-10-29 18:43:28.671 | mbind: Operation not permitted
mysql    | 2025-10-29 18:43:28.671 | mbind: Operation not permitted
mysql    | 2025-10-29 18:43:28.671 | mbind: Operation not permitted
mysql    | 2025-10-29 18:43:28.671 | mbind: Operation not permitted
rabbitmq | 2025-10-29 18:43:28.758 | =INFO REPORT==== 29-Oct-2025::12:58:28.753163 ===
rabbitmq | 2025-10-29 18:43:28.758 |     alarm_handler: {set,{system_memory_high_watermark,[]}}
mysql    | 2025-10-29 18:43:28.937 | 2025-10-29T12:58:28.937701Z 0 [Warning] [MY-010068] [Server] CA certificate ca.pem is self signed.
mysql    | 2025-10-29 18:43:28.941 | 2025-10-29T12:58:28.941433Z 0 [Warning] [MY-011810] [Server] Insecure configuration for --pid-file: Location '/var/run/mysqld' in the path is accessible to all OS users. Consider choosing a different directory.
mysql    | 2025-10-29 18:43:28.951 | 2025-10-29T12:58:28.951651Z 0 [Warning] [MY-010315] [Server] 'user' entry 'mysql.infoschema@localhost' ignored in --skip-name-resolve mode.
mysql    | 2025-10-29 18:43:28.951 | 2025-10-29T12:58:28.951688Z 0 [Warning] [MY-010315] [Server] 'user' entry 'mysql.session@localhost' ignored in --skip-name-resolve mode.
mysql    | 2025-10-29 18:43:28.951 | 2025-10-29T12:58:28.951699Z 0 [Warning] [MY-010315] [Server] 'user' entry 'mysql.sys@localhost' ignored in --skip-name-resolve mode.
mysql    | 2025-10-29 18:43:28.951 | 2025-10-29T12:58:28.951705Z 0 [Warning] [MY-010315] [Server] 'user' entry 'root@localhost' ignored in --skip-name-resolve mode.
mysql    | 2025-10-29 18:43:28.951 | 2025-10-29T12:58:28.951723Z 0 [Warning] [MY-010323] [Server] 'db' entry 'performance_schema mysql.session@localhost' ignored in --skip-name-resolve mode.
mysql    | 2025-10-29 18:43:28.951 | 2025-10-29T12:58:28.951727Z 0 [Warning] [MY-010323] [Server] 'db' entry 'sys mysql.sys@localhost' ignored in --skip-name-resolve mode.
mysql    | 2025-10-29 18:43:28.951 | 2025-10-29T12:58:28.951736Z 0 [Warning] [MY-010311] [Server] 'proxies_priv' entry '@ root@localhost' ignored in --skip-name-resolve mode.
mysql    | 2025-10-29 18:43:28.958 | 2025-10-29T12:58:28.958346Z 0 [Warning] [MY-010330] [Server] 'tables_priv' entry 'user mysql.session@localhost' ignored in --skip-name-resolve mode.
mysql    | 2025-10-29 18:43:28.958 | 2025-10-29T12:58:28.958370Z 0 [Warning] [MY-010330] [Server] 'tables_priv' entry 'sys_config mysql.sys@localhost' ignored in --skip-name-resolve mode.
mysql    | 2025-10-29 18:43:28.965 | 2025-10-29T12:58:28.964908Z 0 [System] [MY-010931] [Server] /usr/sbin/mysqld: ready for connections. Version: '8.0.12'  socket: '/var/run/mysqld/mysqld.sock'  port: 3306  MySQL Community Server - GPL.
rabbitmq | 2025-10-29 18:43:30.618 | 2025-10-29 12:58:30.612333+00:00 [notice] <0.44.0> Application syslog exited with reason: stopped
rabbitmq | 2025-10-29 18:43:30.618 | 2025-10-29 12:58:30.617801+00:00 [notice] <0.254.0> Logging: switching to configured handler(s); following messages may not be visible in this log output
rabbitmq | 2025-10-29 18:43:30.618 | 2025-10-29 12:58:30.618262+00:00 [notice] <0.254.0> Logging: configured log handlers are now ACTIVE
rabbitmq | 2025-10-29 18:43:30.625 | 2025-10-29 12:58:30.624843+00:00 [info] <0.254.0> ra: starting system quorum_queues
rabbitmq | 2025-10-29 18:43:30.625 | 2025-10-29 12:58:30.624915+00:00 [info] <0.254.0> starting Ra system: quorum_queues in directory: /var/lib/rabbitmq/mnesia/rabbit@3d0ed7a33ce6/quorum/rabbit@3d0ed7a33ce6
rabbitmq | 2025-10-29 18:43:30.680 | 2025-10-29 12:58:30.680161+00:00 [info] <0.268.0> ra system 'quorum_queues' running pre init for 0 registered servers
rabbitmq | 2025-10-29 18:43:30.691 | 2025-10-29 12:58:30.691020+00:00 [info] <0.269.0> ra: meta data store initialised for system quorum_queues. 0 record(s) recovered
rabbitmq | 2025-10-29 18:43:30.707 | 2025-10-29 12:58:30.707538+00:00 [notice] <0.274.0> WAL: ra_log_wal init, open tbls: ra_log_open_mem_tables, closed tbls: ra_log_closed_mem_tables
rabbitmq | 2025-10-29 18:43:30.719 | 2025-10-29 12:58:30.719702+00:00 [info] <0.254.0> ra: starting system coordination
rabbitmq | 2025-10-29 18:43:30.720 | 2025-10-29 12:58:30.719759+00:00 [info] <0.254.0> starting Ra system: coordination in directory: /var/lib/rabbitmq/mnesia/rabbit@3d0ed7a33ce6/coordination/rabbit@3d0ed7a33ce6
rabbitmq | 2025-10-29 18:43:30.721 | 2025-10-29 12:58:30.720823+00:00 [info] <0.282.0> ra system 'coordination' running pre init for 0 registered servers
rabbitmq | 2025-10-29 18:43:30.721 | 2025-10-29 12:58:30.721655+00:00 [info] <0.283.0> ra: meta data store initialised for system coordination. 0 record(s) recovered
rabbitmq | 2025-10-29 18:43:30.721 | 2025-10-29 12:58:30.721852+00:00 [notice] <0.288.0> WAL: ra_coordination_log_wal init, open tbls: ra_coordination_log_open_mem_tables, closed tbls: ra_coordination_log_closed_mem_tables
